"Ean","Quofi","Quofi-Titel","_type"
"8714186101087","30.35","Intersteel toilet-/badkamersluiting met rond rozet - Ø 49 mm - messing gelakt","dict"
"8714186473054","32.63","Intersteel WC-overslag - met bocht - met tekst ""vrij/bezet"" - messing gelakt","dict"
"8714186519653","32.63","Intersteel wc-overslag - met bocht - groen/rood - messing gelakt","dict"
"8714186473122","32.63","Intersteel WC-overslag - vlak - met tekst ""vrij/bezet"" - messing gelakt","dict"
"8714186515167","40.81","Intersteel toilet-/badkamersluiting - George - 8 mm - met tekst ""vrij/bezet"" - messing gelakt","dict"
"8714186079515","117.81","Intersteel veiligheidsrozet - met kerntrekbeveiliging - messing gelakt","dict"
"8714186069189","250.80","Intersteel veiligheidsbeslag greep/kruk - SKG*** met kerntrekbeveiliging - PC 72 - messing gelakt","dict"
"8714186069196","250.80","Intersteel veiligheidsbeslag greep/kruk - SKG*** met kerntrekbeveiliging - PC 92 - messing gelakt","dict"
"8714186428245","235.60","Intersteel veiligheidsbeslag kruk/kruk - SKG*** met kerntrekbeveiliging - PC 72 - messing gelakt","dict"
"8714186103258","223.25","Intersteel veiligheidsbeslag greep/kruk - SKG*** massief - PC 72 - messing gelakt","dict"
"8714186083222","205.19","Intersteel veiligheidsbeslag greep/kruk - SKG*** - PC 72 - messing gelakt","dict"
"8714186029176","41.75","Intersteel voordeurknop paddenstoel - ø 57 mm - messing gelakt","dict"
"8714186029190","41.75","Intersteel voordeurknop bol rond - ø 54 mm - messing gelakt","dict"
"8714186008959","37.96","Intersteel voordeurknop rond zwaar - ø 72 mm - messing gelakt","dict"
"8714186008911","9.50","Intersteel afdekplaatje - tbv bout voordeurknop - messing gelakt","dict"
"8714186009055","60.75","Intersteel trekbel garnituur - messing gelakt","dict"
"8714186009420","20.38","Intersteel beldrukker - ovaal - 60x32 mm - messing gelakt","dict"
"8714186091333","19.34","Intersteel deurbel - rond 50 mm - verdekt - messing gelakt","dict"
"8714186009444","19.34","Intersteel beldrukker - smal - recht - 76x25 mm- messing gepolijst","dict"
"8714186009536","69.31","Intersteel briefplaat rechthoekig - met klep/regenrand - 325x77 mm - messing gelakt","dict"
"8714186009529","69.31","Intersteel briefplaat rechthoekig - met klep - 343x70 mm - messing gelakt","dict"
"8714186009512","72.15","Intersteel briefplaat - rechthoekig met veer - 348x75 mm - messing gelakt","dict"
"8714186009505","79.75","Intersteel briefplaat - ovaal met veer - 343x77 mm - messing gelakt","dict"
"8714186046586","85.45","Intersteel tochtwering - ovaal - 342x78 mm - messing gelakt","dict"
"8714186128657","73.11","Intersteel tochtwering - rechthoekig - 325x75 mm - messing gelakt","dict"
"8714186010211","21.80","Intersteel huisnummer - Nr. 0 - messing gelakt","dict"
"8714186010228","21.80","Intersteel huisnummer - Nr. 1 - messing gelakt","dict"
"8714186010235","21.80","Intersteel huisnummer - Nr. 2 - messing gelakt","dict"
"8714186010242","21.80","Intersteel huisnummer - Nr. 3 - messing gelakt","dict"
"8714186010259","21.80","Intersteel huisnummer - Nr. 4 - messing gelakt","dict"
"8714186010266","21.80","Intersteel huisnummer - Nr. 5 - messing gelakt","dict"
"8714186010273","21.80","Intersteel huisnummer - Nr. 6 - messing gelakt","dict"
"8714186010280","21.80","Intersteel huisnummer - Nr. 7 - messing gelakt","dict"
"8714186010297","21.80","Intersteel huisnummer - Nr. 8 - messing gelakt","dict"
"8714186010303","21.80","Intersteel huisnummer - Nr. 9 - messing gelakt","dict"
"8714186009017","57.90","Intersteel deurklopper - rond - 107 mm - messing gelakt","dict"
"8714186384794","10.21","Intersteel deurspion zichtveld 180° - Ø14 mm - deurdikte 35/60 mm - messing gelakt","dict"
"8714186091258","104.50","Intersteel deurgreep met vierkante rozetten - Bau-Stil - 265 mm - messing gelakt","dict"
"8714186055960","19.34","Intersteel deurstop met ring - Ø 32x45 mm - vloermontage - messing gelakt","dict"
"8714186030431","11.36","Intersteel schuifdeurkom - rechthoekig - 120x40 mm - messing gelakt","dict"
"8714186030486","315.40","Intersteel hef-/schuifdeurbeslag - met profielcilindergat - 265 mm - messing gelakt","dict"
"8714186011478","9.93","Intersteel sierhuls - 40/40 mm - messing gelakt","dict"
"8714186473238","16.11","Intersteel raamsluiting - Ton - rechts - messing gelakt/ebbenhout","dict"
"8714186473245","16.11","Intersteel raamsluiting - Ton - links - messing gelakt/ebbenhout","dict"
"8714186473290","25.60","Intersteel raamuitzetter - Ton - met stelpennen - messing gelakt","dict"
"8714186029565","12.31","Intersteel sluitplaat voor raamsluiting - messing gelakt","dict"
"8714186029589","27.02","Intersteel raamsluiting - met nok - draairichting 3 - messing gelakt","dict"
"8714186029572","27.02","Intersteel raamsluiting met nok 075 - draairichting 4","dict"
"8714186011119","32.26","Intersteel raamsluiting - dudok - draairichting 3 - messing gelakt","dict"
"8714186011102","32.26","Intersteel raamsluiting - dudok - draairichting 4 - messing gelakt","dict"
"8714186009741","46.50","Intersteel raamuitzetter met stelpen - Dudok - messing gelakt","dict"
"8714186029756","120.65","Intersteel stangenset deurespagnolet - 2 x 125 cm - messing gelakt","dict"
"8714186029763","120.65","Intersteel stangenset raamespagnolet - 2 x 125 cm - messing gelakt","dict"
"8714186029732","326.81","Intersteel deurespagnolet - messing gelakt","dict"
"8714186121054","315.40","Intersteel deurespagnolet - Ton 400 - messing gelakt","dict"
"8714186053997","81.65","Intersteel raamkruk - zwaar - afsluitbaar - messing gelakt","dict"
"8714186314715","30.35","Intersteel raamkruk - Emily - messing gelakt","dict"
"8714186030622","3.80","Intersteel kapstokhaak - scheepsmodel - messing gelakt","dict"
"8714186030578","6.64","Intersteel kapstokhaak - scheepsmodel - messing gelakt","dict"
"8714186030639","5.69","Intersteel kapstokhaak - scheepsmodel - dubbel - messing gelakt","dict"
"8714186030684","9.45","Intersteel kapstokhaak - ovaal - messing gelakt","dict"
"8714186055465","10.21","Intersteel leuninghouder - vlak zadel - messing gelakt","dict"
"8714186055472","10.21","Intersteel leuninghouder - hol zadel - messing gelakt","dict"
"8714186042939","10.21","Intersteel leuninghouder - blind - vlak zadel - messing gelakt","dict"
"8714186042946","10.21","Intersteel leuninghouder - blind - hol zadel - messing gelakt","dict"
"8714186056011","44.89","Intersteel deurkruk met rozet - Jupiter - chroom","dict"
"8714186090596","37.96","Intersteel deurkruk met rozet - Saturnus - chroom","dict"
"8714186068250","65.50","Intersteel deurkruk met rozet - Sigaar - rond - chroom","dict"
"8714186089255","43.66","Intersteel deurkruk met rozet - Phobos - chroom","dict"
"8714186489208","55.06","Intersteel deurkruk met rozet - Courgette - verdekt - chroom","dict"
"8714186489147","69.31","Intersteel deurkruk op schild - Courgette - blind - ovaal - chroom","dict"
"8714186489161","69.31","Intersteel deurkruk op schild - Courgette - SL 56 - ovaal - chroom","dict"
"8714186489185","82.61","Intersteel deurkruk op schild - Courgette - WC 63/8 - ovaal - chroom","dict"
"8714186091432","107.35","Intersteel deurkruk met rozet - Bau-Stil - bol - chroom","dict"
"8714186091517","111.15","Intersteel deurkruk met vierlkant rozet - Bau-Stil - chroom/mat zwart","dict"
"8714186149140","37.00","Intersteel deurkruk met rozet - Elen - chroom","dict"
"8714186149010","40.81","Intersteel deurkruk met langschild - Elen - blind - chroom/mat nikkel","dict"
"8714186167717","40.81","Intersteel deurkruk met langschild - Elen - met sleutelgat 56 mm - chroom/mat nikkel","dict"
"8714186176214","40.81","Intersteel deurkruk met langschild - Elen - met profielcilindergat 55 mm - chroom/mat nikkel","dict"
"8714186168059","40.81","Intersteel deurkruk met langschild - Elen - met profielcilindergat 72 mm - chroom/mat nikkel","dict"
"8714186167700","45.56","Intersteel deurkruk met schild - Elen - met toilet-/badkamersluiting 63 mm - chroom","dict"
"8714186144077","37.00","Intersteel deurkruk met rozet - Agatha - chroom/mat nikkel","dict"
"8714186149263","45.56","Intersteel deurkruk met langschild - Agatha - blind - chroom/mat nikkel","dict"
"8714186174906","45.56","Intersteel deurkruk met langschild - Agatha - met sleutelgat 56 mm - chroom/mat nikkel","dict"
"8714186175897","45.56","Intersteel deurkruk met langschild - Agatha - met sleutelgat 72 mm - chroom/mat nikkel","dict"
"8714186185520","45.56","Intersteel deurkruk met langschild - Agatha - met profielcilindergat 55 mm - chroom/mat nikkel","dict"
"8714186175903","45.56","Intersteel deurkruk met langschild - Agatha - met profielcilindergat 72 mm - chroom/mat nikkel","dict"
"8714186169148","50.30","Intersteel deurkruk met langschild - Agatha - met toilet-/badkamersluiting 63 mm - chroom/mat nikkel","dict"
"8714186144060","40.81","Intersteel deurkruk met rozet - Marion - rond - chroom/mat nikkel","dict"
"8714186144053","37.00","Intersteel deurkruk met rozet - Nicol - rond - chroom/mat nikkel","dict"
"8714186144039","35.10","Intersteel deurkruk met rozet - Giussy - mat nikkel","dict"
"8714186144015","40.81","Intersteel deurkruk met rozet - Sharon - rond - chroom/mat nikkel","dict"
"8714186212097","36.05","Intersteel deurkruk op rond rozet - Bastian - Ø 52x10 mm - chroom","dict"
"8714186176719","55.06","Intersteel deurkruk Bastian 1693 op rozet - met WC 8 plaatje - mat chroom/nikkel ","dict"
"8714186166468","34.15","Intersteel deurkruk met rozet - Sylvia - rond - chroom/mat nikkel","dict"
"8714186166345","34.15","Intersteel deurkruk met rozet - Birgit - rond - chroom/mat nikkel","dict"
"8714186167793","33.20","Intersteel deurkruk met rozet - Casper - rond - chroom/mat nikkel","dict"
"8714186169391","38.90","Intersteel deurkruk op schild - Emily - blind - chroom","dict"
"8714186499016","38.90","Intersteel deurkruk op schild - Emily - SL 56 - chroom","dict"
"8714186499023","38.90","Intersteel deurkruk op schild - Emily - PC 55 - chroom","dict"
"8714186169377","38.90","Intersteel deurkruk op schild - Emily -  PC 72 - chroom","dict"
"8714186419151","43.66","Intersteel deurkruk op schild - Emily - WC 63/8 - chroom","dict"
"8714186272688","36.05","Intersteel deurkruk met rozet - Julietta - rond - chroom/nikkel mat","dict"
"8714186272701","36.05","Intersteel deurkruk met rozet - Amber - vierkant - chroom/nikkel mat","dict"
"8714186392690","34.15","Intersteel deurkruk met rozet - Emily - chroom","dict"
"8714186022290","18.96","Intersteel rozet met sleutelgat - rond - verdekt - chroom","dict"
"8714186022320","18.96","Intersteel rozet met profielcilindergat - rond - verdekt - chroom","dict"
"8714186023457","55.06","Intersteel toilet-/badkamersluiting met rond rozet - Ø 52 mm - chroom","dict"
"8714186081341","13.25","Intersteel rozet - met sleutelgat - bol - verdekt - kunststof/chroom","dict"
"8714186081389","13.25","Intersteel rozet - met profielcilindergat - bol - verdekt - kunststof/chroom","dict"
"8714186081495","42.70","Intersteel toilet-/badkamersluiting bolrond rozet - Ø 55 mm - chroom","dict"
"8714186092323","14.81","Intersteel sleutelplaatje - vierkant - groot chroom","dict"
"8714186092330","14.81","Intersteel rozet met profielcilindergat - vierkant - groot - chroom","dict"
"8714186091623","47.46","Intersteel toilet-/badkamersluiting - vierkant rozet - 55x55 mm - opschroef - chroom","dict"
"8714186022306","9.50","Intersteel sleutelplaatje - verdekt kunststof - chroom","dict"
"8714186098738","9.50","Intersteel rozet - met profielcilindergat - rond verdekt - kunststof/chroom","dict"
"8714186041260","37.00","Intersteel toilet-/badkamersluiting met rond rozet - Ø 49 mm - chroom","dict"
"8714186144114","5.31","Intersteel sleutelplaatje - chroom/mat nikkel NM","dict"
"8714186144121","5.31","Intersteel rozet met profielcilindergat - rond - chroom/mat nikkel NM","dict"
"8714186176856","21.38","Intersteel toilet-/badkamersluiting met rozet - rond - chroom/mat nikkel","dict"
"8714186272725","5.31","Intersteel rozet met sleutelgat - vierkant - chroom/nikkel mat","dict"
"8714186272732","5.31","Intersteel vierkant cilinderrozet - 55x55 mm - chroom/mat nikkel","dict"
"8714186272756","21.38","Intersteel toilet-/badkamersluiting met vierkant rozet - 52x52 mm - chroom/mat nikkel","dict"
